
Shrek Stories,2013,PG,01 Oct 2013,72 min,Animation,N/A,N/A,N/A,"Join Shrek and his friends from Far Far Away as they share tales of holiday cheer, spooky stories, a singing showdown and a night of babysitting nobody will soon forget.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI1OTAwMTE5OV5BMl5BanBnXkFtZTgwMjk0ODA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,122,tt3285224,movie,N/A,N/A,N/A,N/A,True,
Creating a Fairy Tale World: The Making of 'Shrek',2001,N/A,22 Apr 2001,25 min,Documentary,Kellie Allred,Barbara Toennies,"Cameron Diaz, Eddie Murphy, Mike Myers","Behind-the-scenes look at the making of DreamWorks Pictures' ""Shrek"".",English,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,109,tt0290741,movie,N/A,N/A,N/A,N/A,True,
Shrek: I Feel Good,1996,TV-14,N/A,1 min,"Animation, Short, Fantasy","J.J. Abrams, Jeffrey Katzenberg, Rob Letterman","William Steig, J.J. Abrams, Loren Soman","Chris Farley, Tom Kenny",Test footage of Shrek featuring Chris Farley and Tom Kenny.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjFlNTQyOTItMmM1NC00NDUzLWEwYTMtMmVmMWVkMjI4NGM1XkEyXkFqcGdeQXVyODAxMTA0NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,102,tt21803526,movie,N/A,N/A,N/A,N/A,True,
Shrek 5: Donkeyface Killer,2012,N/A,28 Nov 2012,N/A,"Short, Horror",Andy J. Sipe,N/A,"Dawn Davis, Robert Dodrill, Amanda Millar","Donkey feels trapped by Shrek and his Wife, so he murders Shrek's Kids and his Wife, and now its Shrek VS the DonkeyFace Killer.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,69,tt2847524,movie,N/A,N/A,N/A,N/A,True,
Meet the Cast of Shrek 2,2004,N/A,05 Nov 2004,N/A,"Documentary, Short",N/A,Vince Onken,"Andrew Adamson, Julie Andrews, Kelly Asbury, Antonio Banderas",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,33,tt0488580,movie,N/A,N/A,N/A,N/A,True,
Grey Met Shrek,2014,N/A,06 Nov 2014,99 min,"Comedy, Drama, Romance",Shu-Ning Hui,N/A,"Joel Chan, Ronald Cheng, Yeung Hon","After stealing a pair of shoes and fleeing the scene, a woman named Grey stumbles into the arms of another small-time crook, a recently paroled man named Shrek.",Cantonese,Hong Kong,N/A,https://m.media-amazon.com/images/M/MV5BMjE2ZDBiYjgtYjY3MS00NTJjLWI4Y2YtOTliZjFmYWUzNzAxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,31,tt4539292,movie,N/A,N/A,N/A,N/A,True,
The Music of Shrek 2,2004,N/A,05 Nov 2004,5 min,"Documentary, Short",N/A,Vince Onken,"Andrew Adamson, Antonio Banderas, David Bowie, Brian Cummings",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,24,tt0488589,movie,N/A,N/A,N/A,N/A,True,
The Tech of Shrek 2,2004,N/A,05 Nov 2004,7 min,"Documentary, Short",Kellie Allred,Vince Onken,"Andrew Adamson, Guillaume Aretos, Kelly Asbury, Ken Bielenberg",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDIyNWYxZTMtMzVkYy00MjUzLWJiMjItYWNlMGFhZjI3NTI1XkEyXkFqcGdeQXVyMTExODYyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,24,tt0475753,movie,N/A,N/A,N/A,N/A,True,
Shrek for President,2016,N/A,22 Apr 2016,N/A,Comedy,N/A,"Bart Gold, Patricia Villetto, Jacqueline Vleck",Tauri J. Miller,"In this wacky shrek prequel, Donkey kills Lord Farquad and Shrek must fill in his role",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGY5ZmYzOGItNDc5Yy00ZDUzLWE0OTAtYTM1NzUxNjhmZjhjXkEyXkFqcGdeQXVyNDA4NzI1OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,22,tt5657746,movie,N/A,N/A,N/A,N/A,True,
Shrek the Third: UK Premiere Special,2007,N/A,23 Jun 2007,23 min,Documentary,N/A,"Simon Ragoonanan, Steven Vinacour","Antonio Banderas, Dave Berry, Cameron Diaz",N/A,English,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,18,tt1055313,movie,N/A,N/A,N/A,N/A,True,
Shrek: Once Upon a Time,2011,N/A,30 Dec 2011,59 min,Documentary,N/A,N/A,"David Tennant, Antonio Banderas, Richard Blackwood",N/A,English,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,16,tt2196047,movie,N/A,N/A,N/A,N/A,True,
100 Things You Always Wanted to Know About Shrek But Were Afraid to Ask So We're Gonna Tell You Anyway Movie Special,2007,N/A,12 May 2007,N/A,Animation,Anthony Gelsomino,"Anthony Gelsomino, Wendy Ott","Cameron Diaz, Zane Lamprey, Mike Myers",N/A,English,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,15,tt1056092,movie,N/A,N/A,N/A,N/A,True,
Swamp Sim: Slender Shrek,2015,NOT RATED,05 Feb 2015,9 min,"Short, Comedy, Horror",Mark Edward Fischbach,N/A,Mark Edward Fischbach,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTljZTYwMmItZjdkZi00ZDBlLWFjZTQtYjYwOTZiNDM1MmFiXkEyXkFqcGdeQXVyNTg5OTk5ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,14,tt4831992,movie,N/A,N/A,N/A,N/A,True,
Shrek 5: The Contract - A Fan Made Film,2024,N/A,19 Jun 2024,84 min,"Animation, Adventure, Comedy","Soggy Nugget, Cheesey Stuff","Soggy Nugget, Cheesey Stuff","Jdubofficial, Cheesey Stuff, Soggy Nugget","In this film, when all 4 of Shrek's old nemesis come back from the dead and kill Fiona, he must find a way to bring Fiona back from the dead via magical contract, all with the help of Donkey, Puss, and some new faces.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjgxNGY1ZGItNDcxZS00NjdiLWI1MjEtZGIyZWE2MmEzZmM1XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,13,tt32655777,movie,N/A,N/A,N/A,N/A,True,
Shrek 2 Retold,2021,Unrated,11 May 2021,92 min,Animation,"Grant Duffrin, Conner Japikse",N/A,"Adam Carbone, Bostweek Lewis, Nb","This sequel to the 2018 underground hit Shrek Retold features new and old collaborators from across the internet retelling the 2004 sequel ""Shrek 2"".",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDY0M2E1NzgtMGZkYS00OWJlLTgzMjctYmRlNTUyNzk5OTliXkEyXkFqcGdeQXVyMTEzNjA0MjM4._V1_SX300.jpg,[],N/A,N/A,10,tt14757694,movie,N/A,N/A,N/A,N/A,True,
Shrek Forever After: The Animators Corner,2010,N/A,07 Dec 2010,16 min,"Documentary, Short",John Wheeler,N/A,"Andrew Adamson, Antonio Banderas, Cameron Diaz, Mike Mitchell",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,8,tt1794954,movie,N/A,N/A,N/A,N/A,True,
Shrek Crack,2024,N/A,26 Feb 2024,N/A,Comedy,Steven Reifsteck,"Justin Cottingham, Steven Reifsteck","Joe Bryant, Cameron Cannon, Doyle Dow",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTVkZmViM2QtM2Y3MS00MWE5LWI4MWItMjExYWYxZWM0MzcwXkEyXkFqcGdeQXVyMjQ4MTk5NDc@._V1_SX300.jpg,[],N/A,N/A,7,tt30972984,movie,N/A,N/A,N/A,N/A,True,
The Tech of Shrek the Third,2007,N/A,13 Nov 2007,N/A,"Documentary, Short",N/A,"Melissa Voyagis Langham, Mark Panik","Guillaume Aretos, Denise Nolan Cascino, Derek Chan, Tim Cheung",The Tech of Shrek the Third discusses the creation of the visual graphics and animation of the third installment in the Shrek film series including discussing creating new characters and ...,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,6,tt1087816,movie,N/A,N/A,N/A,N/A,True,
Shrek 2: Around the World,2004,N/A,05 Nov 2004,18 min,"Documentary, Short",Mark Panik,Mark Panik,"Antonio Banderas, Pedro Bial, Bussunda, Alain Chabat","A DVD special feature ""Shrek 2 Around the World"" that documents how the film was regionalized and re-voiced with native-speaking actors and actresses for different countries around the world.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzdjMjQ5MzItNDUzNy00MmU4LTliNTAtYzJlZTkxZDc5ZjIxXkEyXkFqcGdeQXVyMTExODYyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,5,tt10417110,movie,N/A,N/A,N/A,N/A,True,
Star Shrek the Official Movie,2015,N/A,15 Aug 2015,6 min,"Short, Sci-Fi","Manu Balusu, Darius Holweg","Manu Balusu, Darius Holweg","Austin Burcham, Raymond Del Vecchio, Ethan Dennis, Darius Holweg","Shrek and Donkey seek the outer edges of the universe to conquer new land to add for their ever growing empire. Meanwhile, LW3130, General D'Brickshaw Ferguson, Captain Kyle K Kirk, and the...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt10423000,movie,N/A,N/A,N/A,N/A,True,
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 49 wins & 96 nominations total,https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"1,000,668",tt1201607,movie,N/A,"$381,447,587",N/A,N/A,True,
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 20 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.7,"910,741",tt0241527,movie,N/A,"$318,886,962",N/A,N/A,True,
Harry Potter and the Chamber of Secrets,2002,PG,15 Nov 2002,161 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of...","English, Latin","United Kingdom, United States",Won 1 BAFTA Award14 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BNGJhM2M2MWYtZjIzMC00MDZmLThkY2EtOWViMDhhYjRhMzk4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.5,"735,500",tt0295297,movie,N/A,"$262,641,637",N/A,N/A,True,
Harry Potter and the Prisoner of Azkaban,2004,PG,04 Jun 2004,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","English, Latin, Old English","United Kingdom, United States",Nominated for 2 Oscars. 17 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.9,"734,790",tt0304141,movie,N/A,"$250,105,651",N/A,N/A,True,
Harry Potter and the Goblet of Fire,2005,PG-13,18 Nov 2005,157 min,"Adventure, Family, Fantasy",Mike Newell,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","English, French, Latin","United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.7,"719,576",tt0330373,movie,N/A,"$290,469,928",N/A,N/A,True,
Harry Potter and the Order of the Phoenix,2007,PG-13,11 Jul 2007,138 min,"Action, Adventure, Family",David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 2 BAFTA 17 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BYWJmM2M1YzItMjY1Ni00YzRmLTg5YWYtNDFmNTJjNzQ0ODkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.5,"671,556",tt0373889,movie,N/A,"$292,382,727",N/A,N/A,True,
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19 Nov 2010,146 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.","English, Latin","United Kingdom, United States",Nominated for 2 Oscars. 15 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.7,"633,805",tt0926084,movie,N/A,"$296,374,621",N/A,N/A,True,
Harry Potter and the Half-Blood Prince,2009,PG,15 Jul 2009,153 min,"Action, Adventure, Family",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","English, Latin","United Kingdom, United States",Nominated for 1 Oscar. 9 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.6,"629,640",tt0417741,movie,N/A,"$302,334,374",N/A,N/A,True,
Harry Potter 20th Anniversary: Return to Hogwarts,2022,TV-PG,01 Jan 2022,102 min,"Documentary, Family","Casey Patterson, Joe Pearlman, Eran Creevy",N/A,"Ralph Fiennes, Jason Isaacs, Gary Oldman","Cast and crew members from all ""Harry Potter"" films reunite in a retrospective special to celebrate the 20th anniversary of Harry Potter and the Sorcerer's Stone (2001).",English,"United Kingdom, United States",Nominated for 2 Primetime Emmys. 8 nominations total,https://m.media-amazon.com/images/M/MV5BZTNhNjg1NWItZThkNC00N2JiLTkzOTgtNzZjYzAyYTQ4OTEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,8.0,"48,769",tt16116174,movie,N/A,N/A,N/A,N/A,True,
Harry Potter and the Forbidden Journey,2010,N/A,18 Jun 2010,5 min,"Short, Adventure, Fantasy",Thierry Coup,"Steve Kloves, J.K. Rowling (creator), Chick Russell","Ken Bones, Claire Carroll, Robbie Coltrane, Remy Coup","Amusement ride at the Wizarding World of Harry Potter in the Island of Adventure Park, Orlando, Florida.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNDM0YzMyNGUtMTU1Yy00OTE2LWE5NzYtZDZhMTBmN2RkNjg3XkEyXkFqcGdeQXVyMzU5NjU1MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"2,915",tt1756545,movie,N/A,N/A,N/A,N/A,True,
Harry Potter and the Escape from Gringotts,2014,N/A,08 Jul 2014,6 min,"Short, Adventure",Thierry Coup,N/A,"Helena Bonham Carter, Warwick Davis, Ralph Fiennes, Michael Gambon",Guests enter the vaults of Gringotts Bank at the same time the break-in from Harry Potter and the Deathly Hallows: Part 2 (2011) occurs.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTJmOTRjMDEtMjg1YS00YzJjLTk5MWYtZmQzMTBiNGQxYzZhXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,743,tt3731688,movie,N/A,N/A,N/A,N/A,True,
I Am Harry Potter,2010,N/A,01 Dec 2010,3 min,"Short, Comedy",Judd Apatow,Judd Apatow,"Judd Apatow, Daniel Radcliffe","The Boy Who Lived. The Chosen One. But no class at Hogwarts could have prepared Harry Potter for this next chapter in his amazing story. Harry is back in the Muggle world, and trying his hand at acting. Soon Harry is taking on his...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDcwNDA4ZmYtZDI4My00ZTQ0LThmZDItY2Y4Y2E4ZDBjYjc2XkEyXkFqcGdeQXVyMjM4NjM5OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,620,tt1810644,movie,N/A,N/A,N/A,N/A,True,
Fantastic Beasts and Where to Find Them: Before Harry Potter,2017,N/A,28 Mar 2017,N/A,Short,Josh Oreck,N/A,"Colin Farrell, Dan Fogler, Ezra Miller, Eddie Redmayne","A fantasy by Rowling's book takes place in the world of Harry Potter. Newt Scamander, a member of the wizarding community in New York, is trying to locate any mystery that destroys the city.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWUxNDcxOGEtZTRmOS00OTY3LTk4YTUtZTE4ZjNiMzM5YjVjXkEyXkFqcGdeQXVyODA1NjQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,548,tt7467820,movie,N/A,N/A,N/A,N/A,True,
